Title,URL handle,Colorway Family (product.metafields.custom.colorway_family)
Mizuno Wave Rider 29 Men's Running Shoes - Goblin Green/Sailor Blue,mizuno-wave-rider-29-men-goblin-green-sailor-blue-4538sb4c,mizuno-wave-rider-29-men
Mizuno Wave Rider 29 Men's Running Shoes - White/Curds And Whey,mizuno-wave-rider-29-men-white-curds-and-whey-45388t00,mizuno-wave-rider-29-men
PUMA Speedcat Etoile Women's Sneakers - Pink,puma-speedcat-etoile-women-pink-40767303,puma-speedcat-etoile-women
PUMA Speedcat Etoile Women's Sneakers - White Butter,puma-speedcat-etoile-women-white-butter-40767301,puma-speedcat-etoile-women
