Title,URL handle,Colorway Family (product.metafields.custom.colorway_family)
Nike Tech Fleece Full-Zip Windrunner Hoodie Men's - Olive/Black,nike-tech-fleece-full-zip-windrunner-hoodie-men-olive-black-v0949368,nike-tech-fleece-full-zip-windrunner-hoodie-men
Nike Tech Fleece Full-Zip Windrunner Hoodie Men's - Pencil Point/Medium Ash/College Grey,nike-tech-fleece-full-zip-windrunner-hoodie-men-pencil-point-medium-ash-college-grey-v0949018,nike-tech-fleece-full-zip-windrunner-hoodie-men
Nike Tech Fleece Full-Zip Windrunner Hoodie Men's - Red/Black,nike-tech-fleece-full-zip-windrunner-hoodie-men-red-black-v0949608,nike-tech-fleece-full-zip-windrunner-hoodie-men
Nike Tech Fleece Full-Zip Windrunner Hoodie Men's - Red/Black,nike-tech-fleece-full-zip-windrunner-hoodie-men-red-black-v0949687,nike-tech-fleece-full-zip-windrunner-hoodie-men
Nike Tech Fleece Full-Zip Windrunner Hoodie Men's - Work Blue/Cool Grey/Black,nike-tech-fleece-full-zip-windrunner-hoodie-men-work-blue-cool-grey-black-v0949486,nike-tech-fleece-full-zip-windrunner-hoodie-men
Nike Varsity Elite Backpack Adult - Black/University Red/Metallic Gold,nike-varsity-elite-backpack-adult-black-university-red-metallic-gold-u3779657,nike-varsity-elite-backpack-adult
Nike Varsity Elite Backpack Adult - Metallic Silver/Black,nike-varsity-elite-backpack-adult-metallic-silver-black-m9965010,nike-varsity-elite-backpack-adult
Nike Varsity Elite Backpack Adult - Safety Orange/Black/Wolf Grey,nike-varsity-elite-backpack-adult-safety-orange-black-wolf-grey-m9965819,nike-varsity-elite-backpack-adult
Nike Varsity Elite Backpack Adult - White/Red/Navy,nike-varsity-elite-backpack-adult-white-red-navy-u3779410,nike-varsity-elite-backpack-adult
On Cloudmonster Void Men's Running Shoes - Alloy/Black,on-cloudmonster-void-men-alloy-black-30075831,on-cloudmonster-void-men
On Cloudmonster Void Men's Running Shoes - Black/Black,on-cloudmonster-void-men-black-black-49085831,on-cloudmonster-void-men
On Cloudmonster Void Men's Running Shoes - Fog/Pearl,on-cloudmonster-void-men-fog-pearl-10911344,on-cloudmonster-void-men
On Cloudmonster Void Men's Running Shoes - Iceberg/Tin,on-cloudmonster-void-men-iceberg-tin-10914415,on-cloudmonster-void-men
On Cloudmonster Void Men's Running Shoes - Ivory/Blue,on-cloudmonster-void-men-ivory-blue-11095280,on-cloudmonster-void-men
