Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Gender (product.metafields.custom.gender),Source SKU (product.metafields.custom.source_sku),Source URL (product.metafields.custom.source_url)
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-9-5,197613215843,Color,Black/White,,Size,9.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-10,197613215713,Color,Black/White,,Size,10,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-10-5,197613215805,Color,Black/White,,Size,10.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-11,197613215690,Color,Black/White,,Size,11,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-11-5,197613215744,Color,Black/White,,Size,11.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-12,197613215836,Color,Black/White,,Size,12,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-12-5,197613215829,Color,Black/White,,Size,12.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-13,197613215812,Color,Black/White,,Size,13,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,JH6206-14,197613215867,Color,Black/White,,Size,14,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-men-black-white-jh6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/JH6206_02?wid=1600&hei=1600&fmt=png-alpha,2,adidas Adizero Evo SL Men's Running Shoes - Black/White - view 2,,,,,,,,
